Input Graph(V=200, E=2517) {
e{{0}->{174}, 1.0}
e{{0}->{78}, 1.0}
e{{0}->{14}, 1.0}
e{{0}->{77}, 1.0}
e{{0}->{139}, 1.0}
e{{0}->{38}, 1.0}
e{{0}->{199}, 1.0}
e{{0}->{36}, 1.0}
e{{0}->{68}, 1.0}
e{{0}->{197}, 1.0}
e{{0}->{3}, 1.0}
e{{0}->{99}, 1.0}
e{{0}->{163}, 1.0}
e{{0}->{195}, 1.0}
e{{0}->{96}, 1.0}
e{{0}->{31}, 1.0}
e{{0}->{159}, 1.0}
e{{0}->{190}, 1.0}
e{{0}->{154}, 1.0}
e{{0}->{90}, 1.0}
e{{0}->{86}, 1.0}
e{{0}->{19}, 1.0}
e{{0}->{17}, 1.0}
e{{0}->{112}, 1.0}

e{{1}->{176}, 1.0}
e{{1}->{46}, 1.0}
e{{1}->{12}, 1.0}
e{{1}->{76}, 1.0}
e{{1}->{140}, 1.0}
e{{1}->{11}, 1.0}
e{{1}->{42}, 1.0}
e{{1}->{9}, 1.0}
e{{1}->{133}, 1.0}
e{{1}->{102}, 1.0}
e{{1}->{100}, 1.0}
e{{1}->{35}, 1.0}
e{{1}->{2}, 1.0}
e{{1}->{161}, 1.0}
e{{1}->{127}, 1.0}
e{{1}->{29}, 1.0}
e{{1}->{122}, 1.0}
e{{1}->{153}, 1.0}
e{{1}->{181}, 1.0}
e{{1}->{116}, 1.0}
e{{1}->{115}, 1.0}
e{{1}->{50}, 1.0}
e{{1}->{178}, 1.0}

e{{2}->{16}, 1.0}
e{{2}->{113}, 1.0}
e{{2}->{47}, 1.0}
e{{2}->{175}, 1.0}
e{{2}->{140}, 1.0}
e{{2}->{103}, 1.0}
e{{2}->{1}, 1.0}
e{{2}->{65}, 1.0}
e{{2}->{129}, 1.0}
e{{2}->{193}, 1.0}
e{{2}->{158}, 1.0}
e{{2}->{156}, 1.0}
e{{2}->{28}, 1.0}
e{{2}->{189}, 1.0}
e{{2}->{152}, 1.0}
e{{2}->{53}, 1.0}
e{{2}->{48}, 1.0}
e{{2}->{15}, 1.0}
e{{2}->{108}, 1.0}
e{{2}->{172}, 1.0}
e{{2}->{40}, 1.0}
e{{2}->{135}, 1.0}
e{{2}->{69}, 1.0}
e{{2}->{133}, 1.0}
e{{2}->{64}, 1.0}
e{{2}->{122}, 1.0}

e{{3}->{80}, 1.0}
e{{3}->{41}, 1.0}
e{{3}->{72}, 1.0}
e{{3}->{99}, 1.0}
e{{3}->{34}, 1.0}
e{{3}->{98}, 1.0}
e{{3}->{59}, 1.0}
e{{3}->{92}, 1.0}
e{{3}->{90}, 1.0}
e{{3}->{117}, 1.0}
e{{3}->{22}, 1.0}
e{{3}->{17}, 1.0}
e{{3}->{79}, 1.0}
e{{3}->{75}, 1.0}
e{{3}->{139}, 1.0}
e{{3}->{170}, 1.0}
e{{3}->{106}, 1.0}
e{{3}->{0}, 1.0}
e{{3}->{192}, 1.0}
e{{3}->{157}, 1.0}
e{{3}->{126}, 1.0}
e{{3}->{124}, 1.0}
e{{3}->{120}, 1.0}
e{{3}->{149}, 1.0}
e{{3}->{54}, 1.0}
e{{3}->{83}, 1.0}

e{{4}->{19}, 1.0}
e{{4}->{18}, 1.0}
e{{4}->{144}, 1.0}
e{{4}->{145}, 1.0}
e{{4}->{174}, 1.0}
e{{4}->{111}, 1.0}
e{{4}->{74}, 1.0}
e{{4}->{72}, 1.0}
e{{4}->{38}, 1.0}
e{{4}->{134}, 1.0}
e{{4}->{101}, 1.0}
e{{4}->{36}, 1.0}
e{{4}->{98}, 1.0}
e{{4}->{34}, 1.0}
e{{4}->{192}, 1.0}
e{{4}->{159}, 1.0}
e{{4}->{155}, 1.0}
e{{4}->{123}, 1.0}
e{{4}->{118}, 1.0}
e{{4}->{22}, 1.0}
e{{4}->{117}, 1.0}

e{{5}->{51}, 1.0}
e{{5}->{19}, 1.0}
e{{5}->{143}, 1.0}
e{{5}->{13}, 1.0}
e{{5}->{75}, 1.0}
e{{5}->{74}, 1.0}
e{{5}->{165}, 1.0}
e{{5}->{195}, 1.0}
e{{5}->{130}, 1.0}
e{{5}->{34}, 1.0}
e{{5}->{159}, 1.0}
e{{5}->{31}, 1.0}
e{{5}->{123}, 1.0}
e{{5}->{25}, 1.0}
e{{5}->{154}, 1.0}
e{{5}->{55}, 1.0}
e{{5}->{119}, 1.0}
e{{5}->{24}, 1.0}
e{{5}->{118}, 1.0}
e{{5}->{86}, 1.0}
e{{5}->{22}, 1.0}

e{{6}->{21}, 1.0}
e{{6}->{51}, 1.0}
e{{6}->{112}, 1.0}
e{{6}->{177}, 1.0}
e{{6}->{78}, 1.0}
e{{6}->{14}, 1.0}
e{{6}->{143}, 1.0}
e{{6}->{111}, 1.0}
e{{6}->{77}, 1.0}
e{{6}->{106}, 1.0}
e{{6}->{75}, 1.0}
e{{6}->{70}, 1.0}
e{{6}->{38}, 1.0}
e{{6}->{7}, 1.0}
e{{6}->{30}, 1.0}
e{{6}->{92}, 1.0}
e{{6}->{26}, 1.0}
e{{6}->{155}, 1.0}
e{{6}->{184}, 1.0}
e{{6}->{25}, 1.0}
e{{6}->{55}, 1.0}

e{{7}->{51}, 1.0}
e{{7}->{177}, 1.0}
e{{7}->{45}, 1.0}
e{{7}->{107}, 1.0}
e{{7}->{41}, 1.0}
e{{7}->{8}, 1.0}
e{{7}->{38}, 1.0}
e{{7}->{63}, 1.0}
e{{7}->{61}, 1.0}
e{{7}->{30}, 1.0}
e{{7}->{154}, 1.0}
e{{7}->{24}, 1.0}
e{{7}->{149}, 1.0}
e{{7}->{118}, 1.0}
e{{7}->{19}, 1.0}
e{{7}->{52}, 1.0}
e{{7}->{143}, 1.0}
e{{7}->{139}, 1.0}
e{{7}->{170}, 1.0}
e{{7}->{6}, 1.0}
