Input Graph(V=500, E=2184) {
e{{1}->{171}, 8358.0}
e{{1}->{2}, 6807.0}
e{{1}->{316}, 569.0}
e{{1}->{324}, -1612.0}
e{{1}->{244}, 6723.0}
e{{1}->{397}, -5942.0}
e{{1}->{310}, 9791.0}
e{{1}->{132}, -151.0}
e{{1}->{414}, 3655.0}

e{{2}->{25}, 6267.0}
e{{2}->{309}, -7230.0}
e{{2}->{157}, 1036.0}
e{{2}->{39}, 907.0}
e{{2}->{1}, 6807.0}
e{{2}->{104}, -8744.0}
e{{2}->{173}, -7751.0}
e{{2}->{3}, -8874.0}

e{{3}->{144}, -9056.0}
e{{3}->{482}, -1048.0}
e{{3}->{2}, -8874.0}
e{{3}->{353}, 9242.0}
e{{3}->{110}, 504.0}
e{{3}->{231}, -494.0}
e{{3}->{91}, -8754.0}
e{{3}->{303}, 5310.0}
e{{3}->{136}, -4218.0}
e{{3}->{4}, -1055.0}

e{{4}->{93}, -2804.0}
e{{4}->{3}, -1055.0}
e{{4}->{266}, 1686.0}
e{{4}->{364}, -8897.0}
e{{4}->{284}, 8282.0}
e{{4}->{423}, 6365.0}
e{{4}->{82}, -6069.0}
e{{4}->{247}, 2557.0}
e{{4}->{43}, 566.0}
e{{4}->{388}, 5176.0}
e{{4}->{5}, 4414.0}
e{{4}->{77}, -3033.0}

e{{5}->{4}, 4414.0}
e{{5}->{6}, 1728.0}
e{{5}->{153}, 8816.0}
e{{5}->{122}, 722.0}

e{{6}->{73}, 7693.0}
e{{6}->{297}, -3253.0}
e{{6}->{343}, 154.0}
e{{6}->{5}, 1728.0}
e{{6}->{7}, -2237.0}
e{{6}->{15}, -1593.0}

e{{7}->{8}, -7507.0}
e{{7}->{314}, -1756.0}
e{{7}->{6}, -2237.0}
e{{7}->{416}, -5246.0}
e{{7}->{451}, 7495.0}
e{{7}->{103}, 8257.0}

e{{8}->{124}, -5969.0}
e{{8}->{294}, -4333.0}
e{{8}->{194}, -507.0}
e{{8}->{432}, 2206.0}
e{{8}->{359}, 2771.0}
e{{8}->{162}, 7179.0}
e{{8}->{318}, -4261.0}
e{{8}->{7}, -7507.0}
e{{8}->{9}, 7990.0}

e{{9}->{8}, 7990.0}
e{{9}->{307}, -4003.0}
e{{9}->{17}, -3864.0}
e{{9}->{10}, -5012.0}
e{{9}->{495}, 5260.0}
e{{9}->{250}, -1984.0}

e{{10}->{168}, 4271.0}
e{{10}->{330}, 7863.0}
e{{10}->{390}, -8598.0}
e{{10}->{11}, 7353.0}
e{{10}->{9}, -5012.0}
e{{10}->{114}, 223.0}

e{{11}->{69}, 171.0}
e{{11}->{12}, -6736.0}
e{{11}->{176}, -9470.0}
e{{11}->{469}, 6195.0}
e{{11}->{10}, 7353.0}
e{{11}->{43}, 4323.0}

e{{12}->{13}, -7604.0}
e{{12}->{20}, -686.0}
e{{12}->{11}, -6736.0}
e{{12}->{277}, 6273.0}

e{{13}->{152}, 4272.0}
e{{13}->{24}, -9600.0}
e{{13}->{61}, 5960.0}
e{{13}->{486}, 7432.0}
e{{13}->{14}, 5273.0}
e{{13}->{164}, -1175.0}
e{{13}->{12}, -7604.0}

e{{14}->{219}, -9493.0}
e{{14}->{276}, 7321.0}
e{{14}->{492}, 5070.0}
e{{14}->{13}, 5273.0}
e{{14}->{64}, -1515.0}
e{{14}->{359}, 9452.0}
e{{14}->{209}, 9744.0}
e{{14}->{396}, 909.0}
e{{14}->{15}, 9331.0}

e{{15}->{16}, -7753.0}
e{{15}->{6}, -1593.0}
e{{15}->{365}, -9352.0}
e{{15}->{14}, 9331.0}
e{{15}->{220}, -8415.0}
e{{15}->{87}, -1165.0}
